Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude
1954 Clark,14010096,Homrich,"$10,900.00 ",5/23/14,No,6,42.321046,-83.096031
2375 Casper,20007062,ABC Demolition,"$10,250.00 ",6/23/14,No,6,42.313014,-83.126522
8421 Navy,20003898,Homrich,"$7,000.00 ",5/13/14,No,6,42.307423,-83.130232
6119 Drexel,21050739,Adamo,"$22,252.06 ",10/3/14,No,4,42.401623,-82.971077
9221 Morang,21077017,Homrich,"$13,572.74 ",9/5/14,No,4,42.41967,-82.935033
9910 Holmur,14006521,Able Demolition,"$7,650.75 ",11/25/14,No,5,42.374196,-83.123355
9137 Delmar,5005173,Able Demolition,"$14,983.35 ",8/21/14,No,5,42.387553,-83.070722
841 Philip,21060763,Able Demolition,"$11,983.65 ",8/12/14,No,4,42.372316,-82.941681
5245 Maryland,21064381,Adamo,"$4,144.00 ",7/7/14,No,4,42.39994,-82.954383
211 Trowbridge,1003322,Able Demolition,"$15,049.00 ",9/10/14,No,5,42.390861,-83.083073
12946 Mitchell,9010798,Homrich,"$12,083.15 ",8/5/14,No,3,42.410825,-83.065346
243 Ashland,21062583,Homrich,"$8,400.00 ",5/21/14,No,4,42.363158,-82.933019
452 Navahoe,21046564,Homrich,"$10,500.00 ",5/20/14,No,4,42.361644,-82.952153
18108 Dresden,21034677,Adamo,"$11,469.85 ",9/11/14,No,3,42.428896,-82.999177
569 Mt Vernon,3002094,Blue Star,"$10,300.00 ",8/7/14,No,5,42.378488,-83.069996
1533 Dragoon,16016789-90,Homrich,"$9,700.00 ",5/28/14,No,6,42.312869,-83.106813
15916 Rossini Drive,21024731,MCM,"$11,579.78 ",7/24/14,No,3,42.443578,-82.956196
7239 Navy,18001089,DMC Consultants,"$14,937.00 ",9/2/14,No,6,42.31143,-83.120466
15601 Normandy,8010669,Adamo,"$6,330.09 ",5/16/14,No,2,42.406808,-83.12661
7343 Navy,18001106,Homrich,"$9,000.00 ",5/15/14,No,6,42.310718,-83.122204
323 Eastlawn,21053534,Able Demolition,"$15,604.50 ",8/19/14,No,4,42.362196,-82.941988
9210 Lane,20003384,ABC Demolition,"$13,250.00 ",7/31/14,No,6,42.303532,-83.135823
1062 Beard,18008489,ABC Demolition,"$12,500.00 ",7/2/14,No,6,42.306464,-83.112444
6421 Cadet,18007300.002L,ABC Demolition,"$14,950.00 ",6/20/14,No,6,42.312931,-83.110168
2371 Sharon,20008281,Homrich,"$8,100.00 ",5/14/14,No,6,42.308985,-83.136189
2029 Green,18009026,Homrich,"$22,900.00 ",5/28/14,No,6,42.3122,-83.12042
9203 Pierson,22107195,Homrich,"$11,757.35 ",8/30/14,No,7,42.36106,-83.244897
8211 Plainview,22094739,Blue Star,"$10,400.00 ",11/14/14,No,7,42.352384,-83.234843
8116 Senator,20004043,Homrich,"$7,500.00 ",5/13/14,No,6,42.309498,-83.128399
1405 Green,18009067,Homrich,"$7,300.00 ",5/13/14,No,6,42.307476,-83.117105
9552 Minock,22090669,Homrich,"$15,272.26 ",8/7/14,No,7,42.365592,-83.232097
15482 Parkside,12011370,Adamo,"$5,601.00 ",8/8/14,No,2,42.405884,-83.131208
1232 Rademacher,18007678,ABC Demolition,"$17,150.00 ",6/25/14,No,6,42.309465,-83.109903
16700 Evergreen,22095679,DMC Consultants,"$7,861.40 ",6/3/14,No,1,42.411668,-83.23759
1487 Junction,16013320,ABC Demolition,"$10,900.00 ",7/10/14,No,6,42.315091,-83.100225
7810 Pitt,20007051,ABC Demolition,"$7,000.00 ",6/23/14,No,6,42.314065,-83.127215
